interference_regime,load_regime,compared_to,sit_cvar99,baseline_cvar99,cvar_improvement_pct,sit_effective_goodput_rps,baseline_effective_goodput_rps,goodput_improvement_pct,sit_catastrophes,baseline_catastrophes,fewer_catastrophes,sit_dominates
heavy_tail_burst,medium,static-low,162941.09,140506.43,-15.97,7954.88,5813.6,36.83,0,0,True,False
heavy_tail_burst,medium,static-high,162941.09,160178.59,-1.72,7954.88,6349.74,25.28,0,0,True,True
heavy_tail_burst,medium,k8s-hpa,162941.09,182009.39,10.48,7954.88,7829.39,1.6,0,0,True,True
heavy_tail_burst,medium,k8s-default,162941.09,125332.33,-30.01,7954.88,7631.81,4.23,0,0,True,False
heavy_tail_burst,medium,slurm-fcfs,162941.09,128760.64,-26.55,7954.88,5538.88,43.62,0,0,True,False
heavy_tail_burst,medium,triton-proxy,162941.09,141688.08,-15.0,7954.88,4261.79,86.66,0,0,True,False
heavy_tail_burst,saturation,SIT-no-IRBS,171850.16,157992.93,-8.77,8013.4,6481.48,23.64,0,0,True,False
heavy_tail_burst,saturation,SIT-no-safety,171850.16,163909.52,-4.84,8013.4,8540.88,-6.18,0,0,True,False
heavy_tail_burst,saturation,SIT-no-admission,171850.16,168981.88,-1.7,8013.4,8330.19,-3.8,0,0,True,False
heavy_tail_burst,saturation,partition,171850.16,150065.0,-14.52,8013.4,3872.24,106.95,0,0,True,False
heavy_tail_burst,saturation,spread,171850.16,152709.42,-12.53,8013.4,4837.21,65.66,0,0,True,False
heavy_tail_burst,saturation,random,171850.16,197757.2,13.1,8013.4,5478.21,46.28,0,0,True,True
heavy_tail_burst,saturation,round-robin,171850.16,166089.14,-3.47,8013.4,5564.14,44.02,0,0,True,True
heavy_tail_burst,saturation,binpack-greedy,171850.16,359442.36,52.19,8013.4,4290.6,86.77,0,0,True,True
heavy_tail_burst,saturation,tail-greedy,171850.16,193110.28,11.01,8013.4,7746.98,3.44,0,0,True,True
heavy_tail_burst,saturation,similarity-avoidance,171850.16,187218.91,8.21,8013.4,6825.3,17.41,0,0,True,True
heavy_tail_burst,saturation,admission-only,171850.16,178542.38,3.75,8013.4,5479.26,46.25,0,0,True,True
heavy_tail_burst,saturation,oracle,171850.16,179353.09,4.18,8013.4,7928.83,1.07,0,0,True,True
heavy_tail_burst,saturation,static-low,171850.16,173035.92,0.69,8013.4,5679.81,41.09,0,0,True,True
heavy_tail_burst,saturation,static-high,171850.16,212021.41,18.95,8013.4,6351.6,26.16,0,0,True,True
heavy_tail_burst,saturation,k8s-hpa,171850.16,430693.6,60.1,8013.4,7710.76,3.92,0,0,True,True
heavy_tail_burst,saturation,k8s-default,171850.16,168942.31,-1.72,8013.4,7414.92,8.07,0,0,True,True
heavy_tail_burst,saturation,slurm-fcfs,171850.16,225047.78,23.64,8013.4,5426.36,47.68,0,0,True,True
heavy_tail_burst,saturation,triton-proxy,171850.16,352042.89,51.18,8013.4,4188.58,91.32,0,0,True,True
iid_noise,high,SIT-no-IRBS,8950.83,12198.91,26.63,11598.51,8573.64,35.28,0,0,True,True
iid_noise,high,SIT-no-safety,8950.83,13835.12,35.3,11598.51,10980.31,5.63,0,0,True,True
iid_noise,high,SIT-no-admission,8950.83,11285.49,20.69,11598.51,11315.96,2.5,0,0,True,True
